FileTable,2,03.06.2025 15:07:23.434;
ListID,number,14;ShortName,char,16;
ListID        |ShortName       |
233           |KV7L0292        |
233           |KV7L0293        |
233           |KV7L0294        |
233           |KV7L0295        |
233           |KV7L0296        |
233           |KV7L0297        |
233           |KV7L0301        |
233           |KV7L0302        |
233           |KV7L0303        |
233           |KV7L0304        |
233           |KV7L0305        |
233           |KV7L0306        |
233           |KV7L0307        |
233           |KV7L0311        |
233           |KV7L0312        |
233           |KV7L0313        |
233           |KV7L0314        |
233           |KV7L0315        |
233           |KV7L0316        |
233           |KV7L0317        |
233           |KV7L0321        |
233           |KV7L0322        |
233           |KV7L0323        |
233           |KV7L0324        |
233           |KV7L0325        |
233           |KV7L0326        |
233           |KV7L0327        |
233           |KV7L0331        |
233           |KV7L0332        |
233           |KV7L0333        |
233           |KV7L0334        |
233           |KV7L0335        |
233           |KV7L0336        |
233           |KV7L0337        |
233           |KV7L0341        |
233           |KV7L0342        |
233           |KV7L0343        |
233           |KV7L0344        |
233           |KV7L0345        |
233           |KV7L0346        |
233           |KV7L0347        |
233           |KV7L0351        |
233           |KV7L0352        |
233           |KV7L0353        |
233           |KV7L0354        |
233           |KV7L0355        |
233           |KV7L0356        |
233           |KV7L0357        |
233           |KV7L0361        |
233           |KV7L0362        |
233           |KV7L0363        |
233           |KV7L0364        |
233           |KV7L0365        |
233           |KV7L0366        |
233           |KV7L0367        |
233           |KV7L0371        |
233           |KV7L0372        |
233           |KV7L0373        |
233           |KV7L0374        |
233           |KV7L0375        |
233           |KV7L0376        |
233           |KV7L0377        |
233           |KV7L0381        |
233           |KV7L0382        |
233           |KV7L0383        |
233           |KV7L0384        |
233           |KV7L0385        |
233           |KV7L0386        |
233           |KV7L0387        |
233           |KV7L0391        |
233           |KV7L0392        |
233           |KV7L0393        |
233           |KV7L0394        |
233           |KV7L0395        |
233           |KV7L0396        |
233           |KV7L0397        |
233           |KV7L0401        |
233           |KV7L0402        |
233           |KV7L0403        |
233           |KV7L0404        |
233           |KV7L0405        |
233           |KV7L0406        |
233           |KV7L0407        |
233           |KV7L0411        |
233           |KV7L0412        |
233           |KV7L0413        |
233           |KV7L0414        |
233           |KV7L0415        |
233           |KV7L0416        |
233           |KV7L0417        |
233           |KV7L0421        |
233           |KV7L0422        |
233           |KV7L0423        |
233           |KV7L0424        |
233           |KV7L0425        |
233           |KV7L0426        |
233           |KV7L0427        |
233           |KV7L0431        |
233           |KV7L0432        |
233           |KV7L0433        |
233           |KV7L0434        |
233           |KV7L0435        |
233           |KV7L0436        |
233           |KV7L0437        |
233           |KV7L0441        |
233           |KV7L0442        |
233           |KV7L0443        |
233           |KV7L0444        |
233           |KV7L0445        |
233           |KV7L0446        |
233           |KV7L0447        |
233           |KV7L0451        |
233           |KV7L0452        |
233           |KV7L0453        |
233           |KV7L0454        |
233           |KV7L0455        |
233           |KV7L0456        |
233           |KV7L0457        |
233           |KV7L0461        |
233           |KV7L0462        |
233           |KV7L0463        |
233           |KV7L0464        |
233           |KV7L0465        |
233           |KV7L0466        |
233           |KV7L0467        |
233           |KV7L0471        |
233           |KV7L0472        |
